,Identifiant du compteur,Date et heure de comptage,Comptage horaire,Nom du compteur,Coordonnées géographiques
0,100003096-353242251,2021-05-01T03:00:00+02:00,1.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
1,100003096-353242251,2021-05-01T04:00:00+02:00,1.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
2,100003096-353242251,2021-05-01T05:00:00+02:00,0.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
3,100003096-353242251,2021-05-01T06:00:00+02:00,2.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
4,100003096-353242251,2021-05-01T07:00:00+02:00,2.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
5,100003096-353242251,2021-05-01T08:00:00+02:00,12.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
6,100003096-353242251,2021-05-01T09:00:00+02:00,14.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
7,100003096-353242251,2021-05-01T10:00:00+02:00,25.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
8,100003096-353242251,2021-05-01T11:00:00+02:00,36.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
9,100003096-353242251,2021-05-01T12:00:00+02:00,36.0,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338"
